Rubric Passed,Student,Average Of,Overall Average Marks,1. Implementation of Core Functionalities,2. Use of OOP Principles,3. Exception Handling,4. File I/O Implementation,5. Code Efficiency and Quality,6. Code Formatting
Complete,All Students,All Iterations,30.5,16.2,4.4,2.2,0.5,0.8,4.5
Complete,All Students,All 1st Iterations,4.622166667,16.067,3.933,2,0.533,0.8,4.4
Complete,All Students,All 2nd Iterations,4.922,16.267,4.733,2.333,0.933,0.933,4.333
Complete,All Students,All 3rd Iterations,4.5665,15.933,4.067,2.133,0.533,0.4,4.333
Complete,All Students,All 4th Iterations,5,16.267,4.733,2.8,0.667,1.2,4.333
Complete,All Students,All 5th Iterations,5,16.267,4.733,2.8,0.667,1.2,4.333
Module-By-Module,All Students,All Iterations,5.466666667,16.3,4.3,3.4,2.3,2.1,4.4
Module-By-Module,All Students,All 1st Iterations,5.400166667,16.067,4.4,3,2.267,2.2,4.467
Module-By-Module,All Students,All 2st Iterations,5.5555,16.333,4.267,3.8,2.2,2,4.733
Module-By-Module,All Students,All 3rd Iterations,5.522333333,16.467,4.4,3.4,2.067,2.067,4.733
Module-By-Module,All Students,All 4th Iterations,5.533333333,16.333,4.267,3.667,2.267,1.933,4.733
Module-By-Module,All Students,All 5th Iterations,5.5,16.333,4.2,3.667,2.267,1.933,4.6
Complete,1,All Iterations - Student 1,6.833333333,22,8,3.4,1.6,1.2,4.8
Complete,2,All Iterations - Student 2,4.066666667,17.8,0,0.6,0,1,5
Complete,3,All Iterations - Student 3,3.333333333,10,3.4,2,0,1.6,3
Complete,4,All Iterations - Student 4,2.933333333,9.2,0.6,3,0,1.4,3.4
Complete,5,All Iterations - Student 5,2,4.4,1.2,0.4,0,1.8,4.2
Complete,6,All Iterations - Student 6,6.3,22,8,3.4,0,0,4.4
Complete,7,All Iterations - Student 7,5.366666667,19.8,5.8,0.8,0.4,0.4,5
Complete,8,All Iterations - Student 8,4.266666667,14.8,3.2,2.8,0,0,4.8
Complete,9,All Iterations - Student 9,5.266666667,20,3,0.8,1.6,1.2,5
Complete,10,All Iterations - Student 10,5.766666667,21.8,4.2,2.6,0.8,0.6,4.6
Complete,11,All Iterations - Student 11,0.633333333,0,0,0,0,0,3.8
Complete,12,All Iterations - Student 12,6.433333333,22,8,4,0,0,4.6
Complete,13,All Iterations - Student 13,6.5,22,8,2.8,0.8,0.6,4.8
Complete,14,All Iterations - Student 14,4.666666667,15,5,2.6,0,0.8,4.6
Complete,15,All Iterations - Student 15,6.833333333,22,7.6,3.8,1.6,1.2,4.8
Module-By-Module,1,All Iterations - Student 1,7.666666667,22,8,4,4,3,5
Module-By-Module,2,All Iterations - Student 2,4.666666667,18,2,0,0,3,5
Module-By-Module,3,All Iterations - Student 3,2.833333333,10,3,0,0,1,3
Module-By-Module,4,All Iterations - Student 4,2.333333333,10,0,0,0,0,4
Module-By-Module,5,All Iterations - Student 5,1.666666667,6,0,0,0,0,4
Module-By-Module,6,All Iterations - Student 6,7.166666667,22,7,3,3,3,5
Module-By-Module,7,All Iterations - Student 7,6.333333333,20,6,2,2,3,5
Module-By-Module,8,All Iterations - Student 8,5.5,15,3,4,4,2,5
Module-By-Module,9,All Iterations - Student 9,6,19,2,4,4,2,5
Module-By-Module,10,All Iterations - Student 10,6.333333333,21,4,3,3,2,5
Module-By-Module,11,All Iterations - Student 11,0.166666667,0,0,0,0,0,1
Module-By-Module,12,All Iterations - Student 12,7.666666667,22,8,4,4,3,5
Module-By-Module,13,All Iterations - Student 13,7.5,22,7,4,4,3,5
Module-By-Module,14,All Iterations - Student 14,5.5,15,4,3,3,3,5
Module-By-Module,15,All Iterations - Student 15,7.333333333,22,8,3,3,3,5
